Id;Location;Year;Kilometers_Driven;Fuel_Type
0;Mumbai;2010;72000;CNG
1;Pune;2015;41000;Diesel
2;Chennai;2011;46000;Petrol
3;Chennai;2012;87000;Diesel
4;Coimbatore;2013;40670;Diesel
5;Hyderabad;2012;75000;LPG
6;Jaipur;2013;86999;Diesel
7;Mumbai;2016;36000;Diesel
8;Pune;2013;64430;Diesel
9;Chennai;2012;65932;Diesel
10;Kochi;2018;25692;Petrol
11;Kolkata;2012;60000;Petrol
12;Jaipur;2015;64424;Diesel
13;Delhi;2014;72000;Diesel
14;Pune;2012;85000;Diesel
15;Delhi;2014;110000;Diesel
16;Kochi;2016;58950;Diesel
17;Jaipur;2017;25000;Diesel
18;Kochi;2014;77469;Diesel
19;Bangalore;2014;78500;Diesel
20;Kochi;2014;32982;Diesel
21;Bangalore;2015;55392;Diesel
22;Mumbai;2015;55985;Petrol
23;Kolkata;2010;45807;Petrol
24;Kolkata;2010;33000;Petrol
25;Mumbai;2012;51920;Petrol
26;Hyderabad;2012;54000;Diesel
27;Hyderabad;2013;54000;Petrol
28;Kochi;2018;37430;Petrol
29;Mumbai;2007;262000;Diesel
30;Bangalore;2013;62000;Diesel
31;Delhi;2012;87615;Petrol
32;Bangalore;2013;72000;Diesel
33;Kolkata;2010;35000;Diesel
34;Coimbatore;2014;55431;Petrol
35;Jaipur;2009;83816;Petrol
36;Kochi;2018;50075;Diesel
37;Delhi;2017;52000;Petrol
38;Pune;2013;85000;Diesel
39;Chennai;2013;62000;Diesel
40;Delhi;2008;90000;Petrol
41;Kochi;2014;19698;Petrol
42;Coimbatore;2017;22033;Diesel
43;Kochi;2014;35487;Petrol
44;Bangalore;2014;46374;Petrol
45;Mumbai;2016;52001;Petrol
46;Ahmedabad;2008;58005;Diesel
47;Bangalore;2012;70704;Petrol
48;Jaipur;2014;75000;Diesel
49;Jaipur;2012;75800;Diesel
50;Kochi;2015;13648;Diesel
51;Delhi;2014;52000;Diesel
52;Kolkata;2014;53000;Diesel
53;Delhi;2013;65650;Diesel
54;Chennai;2015;54000;Petrol
55;Kolkata;2015;39000;Petrol
56;Kochi;2017;16542;Petrol
57;Kolkata;2010;32000;Petrol
58;Hyderabad;2010;121812;Diesel
59;Hyderabad;2010;39300;Petrol
60;Mumbai;2017;22000;Diesel
61;Bangalore;2010;72000;Diesel
62;Delhi;2015;58000;Petrol
63;Pune;2011;65000;Diesel
64;Chennai;2016;178000;Diesel
65;Jaipur;2012;65664;Diesel
66;Mumbai;2007;63000;Petrol
67;Coimbatore;2019;15369;Diesel
68;Pune;2016;63000;Diesel
69;Mumbai;2018;13000;Diesel
70;Mumbai;2008;73000;Petrol
71;Mumbai;2015;55729;Diesel
72;Kochi;2012;45178;Petrol
73;Kochi;2015;56066;Diesel
74;Coimbatore;2016;37300;Petrol
75;Delhi;2014;56000;Diesel
76;Jaipur;2008;111111;Diesel
77;Chennai;2006;230000;Petrol
78;Hyderabad;2012;104000;Diesel
79;Hyderabad;2005;87591;Petrol
80;Jaipur;2012;95100;Diesel
81;Pune;2017;70000;Petrol
82;Kochi;2016;54944;Petrol
83;Hyderabad;2012;70337;Diesel
84;Jaipur;2013;99638;Diesel
85;Delhi;2009;52000;Petrol
86;Delhi;2011;75000;Diesel
87;Pune;2009;95980;Petrol
88;Bangalore;2016;16000;Petrol
89;Hyderabad;2007;73745;Petrol
90;Mumbai;2016;18949;Petrol
91;Delhi;2014;107000;Diesel
92;Coimbatore;2018;48367;Diesel
93;Delhi;2013;57000;Diesel
94;Delhi;2014;58000;Diesel
95;Kolkata;2015;30000;Diesel
96;Kolkata;2013;34212;Diesel
97;Ahmedabad;2010;70002;Diesel
98;Bangalore;2016;62000;Petrol
99;Delhi;2010;62001;Petrol
100;Pune;2011;78958;Diesel
101;Mumbai;2014;30180;Petrol
102;Pune;2017;32851;Petrol
103;Kolkata;2010;30000;Diesel
104;Pune;2009;66000;Petrol
105;Coimbatore;2010;93850;Petrol
106;Ahmedabad;2014;53000;Petrol
107;Hyderabad;2011;78000;Diesel
108;Delhi;2012;65000;Diesel
109;Kolkata;2014;40000;Diesel
110;Mumbai;2017;30000;Diesel
111;Coimbatore;2017;38053;Petrol
112;Bangalore;2014;25500;Petrol
113;Mumbai;2015;56087;Diesel
114;Delhi;2010;71088;Petrol
115;Ahmedabad;2014;55000;Diesel
116;Bangalore;2014;32700;Diesel
117;Coimbatore;2016;39882;Petrol
118;Mumbai;2009;128000;Petrol
119;Mumbai;2016;55000;Diesel
120;Mumbai;2005;102000;Petrol
121;Pune;2014;53753;Diesel
122;Kolkata;2018;10250;Diesel
123;Pune;2011;43874;Petrol
124;Coimbatore;2017;32684;Petrol
125;Kolkata;2014;42000;Diesel
126;Kolkata;2009;28352;Petrol
127;Pune;2013;89900;CNG
128;Bangalore;2007;47700;Petrol
129;Pune;2015;55000;Diesel
130;Kochi;2017;44285;Petrol
131;Jaipur;2016;54000;Diesel
132;Coimbatore;2016;30232;Petrol
133;Hyderabad;2014;88500;Petrol
134;Kolkata;2017;13372;Petrol
135;Kochi;2019;12645;Petrol
136;Chennai;2010;94385;Petrol
137;Coimbatore;2015;31821;Diesel
138;Mumbai;2015;12000;Petrol
139;Delhi;2012;88578;Petrol
140;Kochi;2014;44965;Diesel
141;Kolkata;2014;45044;Diesel
142;Kochi;2016;34204;Petrol
143;Kochi;2008;80759;Petrol
144;Coimbatore;2012;91235;Diesel
145;Pune;2014;38800;Petrol
146;Chennai;2013;83000;Diesel
147;Kochi;2018;41283;Petrol
148;Mumbai;2013;23000;Petrol
149;Mumbai;2014;48000;Diesel
150;Coimbatore;2015;48214;Diesel
151;Chennai;2016;35000;Diesel
152;Kolkata;2010;35277;Petrol
153;Coimbatore;2016;54620;Diesel
154;Pune;2012;136997;Diesel
155;Kochi;2019;14322;Petrol
156;Jaipur;2012;65634;Diesel
157;Kolkata;2016;6000;Petrol
158;Kolkata;2013;33280;Petrol
159;Delhi;2013;29000;Petrol
160;Kochi;2015;42831;Diesel
161;Ahmedabad;2016;90000;Diesel
162;Ahmedabad;2017;24005;Petrol
163;Mumbai;2012;32792;Diesel
164;Kochi;2014;147898;Diesel
165;Mumbai;2012;131765;Diesel
166;Chennai;2013;65000;Diesel
167;Jaipur;2010;66123;Diesel
168;Mumbai;2015;41000;Diesel
169;Coimbatore;2017;23550;Diesel
170;Bangalore;2012;45000;Petrol
171;Delhi;2013;60000;Petrol
172;Bangalore;2016;44414;Diesel
173;Kolkata;2019;1000;Petrol
174;Mumbai;2012;62500;Diesel
175;Mumbai;2013;21000;Petrol
176;Jaipur;2017;8525;Diesel
177;Bangalore;2014;29000;Diesel
178;Mumbai;2014;40000;Diesel
179;Jaipur;2012;88000;Diesel
180;Kochi;2012;53537;Petrol
181;Chennai;2006;216000;Diesel
182;Hyderabad;2014;51000;Diesel
183;Jaipur;2007;118500;Petrol
184;Hyderabad;2012;63000;Diesel
185;Mumbai;2015;25000;Diesel
186;Bangalore;2014;37382;Diesel
187;Kochi;2017;24773;Petrol
188;Delhi;2012;62000;Diesel
189;Kochi;2017;52340;Petrol
190;Kochi;2016;56739;Diesel
191;Coimbatore;2018;36091;Diesel
192;Chennai;2010;120000;Diesel
193;Mumbai;2016;33000;Diesel
194;Ahmedabad;2007;60006;Petrol
195;Kolkata;2014;52000;Diesel
196;Jaipur;2015;43571;Petrol
197;Kolkata;2013;50000;Diesel
198;Hyderabad;2008;113000;Diesel
199;Delhi;2014;90000;Diesel
200;Chennai;2017;29000;Diesel
201;Mumbai;2016;20000;Diesel
202;Kochi;2016;61012;Petrol
203;Jaipur;2009;87459;Petrol
204;Pune;2010;70500;Petrol
205;Delhi;2015;64103;Diesel
206;Mumbai;2014;76000;Petrol
207;Delhi;2014;104000;Diesel
208;Kolkata;2010;42001;Petrol
209;Kochi;2014;37245;Petrol
210;Kolkata;2013;45000;Diesel
211;Jaipur;2012;117837;Diesel
212;Mumbai;2014;30000;Diesel
213;Delhi;2015;27057;Petrol
214;Mumbai;2016;8500;Petrol
215;Kolkata;2010;30500;Petrol
216;Delhi;2012;56000;Diesel
217;Pune;2012;44000;Petrol
218;Mumbai;2017;10500;Petrol
219;Hyderabad;2017;26000;Petrol
220;Coimbatore;2018;25166;Petrol
221;Kolkata;2014;64000;Diesel
222;Chennai;2004;61000;Petrol
223;Hyderabad;2013;107000;Diesel
224;Coimbatore;2018;29161;Diesel
225;Kolkata;2013;32000;Petrol
226;Coimbatore;2015;46173;Diesel
227;Delhi;2013;47000;Diesel
228;Kochi;2017;26327;Petrol
229;Bangalore;2015;70436;Diesel
230;Jaipur;2007;200000;Diesel
231;Kochi;2016;60813;Petrol
232;Mumbai;2012;45000;Diesel
233;Hyderabad;2016;64000;Diesel
234;Kolkata;2012;41284;Diesel
235;Kochi;2019;14165;Diesel
236;Mumbai;2011;67000;Diesel
237;Kolkata;2011;32572;Petrol
238;Kochi;2018;14960;Petrol
239;Kochi;2015;55980;Diesel
240;Mumbai;2013;74000;Diesel
241;Kochi;2015;56847;Diesel
242;Coimbatore;2015;121374;Diesel
243;Chennai;2013;52000;Diesel
244;Mumbai;2014;118000;Diesel
245;Mumbai;2007;72000;Petrol
246;Kochi;2016;33915;Petrol
247;Ahmedabad;2014;82002;Diesel
248;Mumbai;2017;33000;Diesel
249;Chennai;2016;34000;Diesel
250;Kolkata;2012;55000;Diesel
251;Kochi;2006;160538;Diesel
252;Jaipur;2014;60000;Diesel
253;Coimbatore;2017;49575;Petrol
254;Jaipur;2010;83000;Petrol
255;Kochi;2018;51346;Diesel
256;Pune;2017;43000;Diesel
257;Jaipur;2011;35000;Petrol
258;Coimbatore;2017;27872;Petrol
259;Mumbai;2014;16514;Petrol
260;Pune;2012;120000;Diesel
261;Hyderabad;2008;143275;Diesel
262;Hyderabad;2006;99000;Petrol
263;Mumbai;2010;52000;Petrol
264;Coimbatore;2017;29819;Diesel
265;Bangalore;2014;57000;Diesel
266;Hyderabad;2014;88500;Diesel
267;Bangalore;2016;28000;Diesel
268;Pune;2010;67000;Petrol
269;Delhi;2016;26000;Diesel
270;Delhi;2010;120000;Diesel
271;Coimbatore;2017;51982;Diesel
272;Bangalore;2010;36000;Petrol
273;Pune;2016;47000;Diesel
274;Mumbai;2002;60000;Petrol
275;Hyderabad;2018;31025;Diesel
276;Pune;2013;105000;Diesel
277;Pune;2017;121900;Diesel
278;Mumbai;2017;22695;Petrol
279;Jaipur;2012;73000;Diesel
280;Kochi;2016;32227;Petrol
