Row,ID,Height,Weight (in),Release Clause (Eur),Value (Eur),Wage (Eur)
0,158023,67,159,2265000000,1105000000,565000
1,20801,74,183,1271000000,77000000,405000
2,190871,69,150,2281000000,1185000000,290000
3,193080,76,168,1386000000,72000000,260000
4,192985,71,154,1964000000,102000000,355000
5,183277,68,163,1721000000,93000000,340000
6,177003,68,146,1374000000,67000000,420000
7,176580,72,190,164000000,80000000,455000
8,155862,72,181,1046000000,51000000,380000
9,200389,74,192,1445000000,68000000,94000
10,188545,72,176,1271000000,77000000,205000
11,182521,72,168,1568000000,765000000,355000
12,182493,74,172,902000000,44000000,125000
13,168542,68,148,111000000,60000000,285000
14,215914,66,159,1213000000,63000000,225000
15,211110,70,165,1535000000,89000000,205000
16,202126,74,196,1607000000,835000000,205000
17,194765,69,161,1658000000,78000000,145000
18,192448,74,187,1233000000,58000000,240000
19,192119,78,212,1137000000,535000000,240000
20,189511,74,168,1056000000,515000000,315000
21,179813,73,170,111000000,60000000,200000
22,167495,76,203,627000000,38000000,130000
23,153079,68,154,1193000000,645000000,300000
24,138956,74,187,446000000,27000000,215000
25,231747,70,161,1661000000,81000000,100000
26,209331,69,157,1373000000,695000000,255000
27,200145,73,185,1264000000,595000000,285000
28,198710,71,172,,695000000,315000
29,198219,64,130,1054000000,62000000,165000
30,197781,69,174,1562000000,735000000,315000
31,190460,71,168,1415000000,735000000,205000
32,189242,68,150,1477000000,695000000,340000
33,188567,74,176,1121000000,59000000,265000
34,178603,75,203,759000000,46000000,160000
35,176676,69,176,882000000,43000000,285000
36,173731,73,181,123000000,60000000,355000
37,167948,74,181,666000000,36000000,150000
38,167664,73,196,,57000000,245000
39,164240,72,181,444000000,24000000,165000
40,162835,76,203,51000000,30000000,110000
41,1179,76,203,74000000,4000000,77000
42,205600,72,165,1211000000,57000000,205000
43,201399,71,165,1145000000,645000000,130000
44,201024,74,196,905000000,51000000,115000
45,195864,76,185,1232000000,64000000,210000
